Objects
100
,,Global Angle Nico_1:Nico_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
251,0,-0.008551,-0.004913,-0.030332,-29.104469,-60.133984,662.174744
252,0,-0.008758,-0.004791,-0.030958,-29.414768,-59.890884,662.166321
253,0,-0.008907,-0.004814,-0.031253,-29.754959,-59.664001,662.161072
254,0,-0.009008,-0.005200,-0.031550,-30.128103,-59.468601,662.158020
255,0,-0.008785,-0.005359,-0.031757,-30.504066,-59.312752,662.172791
256,0,-0.008413,-0.005851,-0.032119,-30.890404,-59.183807,662.204590
257,0,-0.008143,-0.006127,-0.032354,-31.303133,-59.073837,662.265259
258,0,-0.008115,-0.006330,-0.032090,-31.735123,-58.980549,662.332520
259,0,-0.007558,-0.006153,-0.031992,-32.145000,-58.914448,662.399414
260,0,-0.007885,-0.006119,-0.031905,-32.542461,-58.883099,662.466064
261,0,-0.007862,-0.005750,-0.031980,-32.948402,-58.889050,662.505127
262,0,-0.007804,-0.005335,-0.031812,-33.339050,-58.932217,662.550293
263,0,-0.008005,-0.005025,-0.031830,-33.725018,-58.993206,662.606567
264,0,-0.007957,-0.004555,-0.031873,-34.071648,-59.079975,662.667114
265,0,-0.008165,-0.003800,-0.031822,-34.414509,-59.187702,662.739807
266,0,-0.008619,-0.003790,-0.032271,-34.744362,-59.290886,662.799805
267,0,-0.009271,-0.003591,-0.032248,-35.055885,-59.435204,662.866699
268,0,-0.009592,-0.003575,-0.032416,-35.365501,-59.571877,662.912659
269,0,-0.009577,-0.003444,-0.032413,-35.652016,-59.727364,662.967590
270,0,-0.009722,-0.003292,-0.032546,-35.936054,-59.913006,663.045959
271,0,-0.009580,-0.003220,-0.032605,-36.215149,-60.061741,663.110840
272,0,-0.009703,-0.003094,-0.032517,-36.466358,-60.219795,663.192871
273,0,-0.009751,-0.002790,-0.032262,-36.708439,-60.362953,663.250000
274,0,-0.009593,-0.002359,-0.032091,-36.936626,-60.492268,663.280212
275,0,-0.009719,-0.001910,-0.031850,-37.138428,-60.630306,663.288574
276,0,-0.009869,-0.001800,-0.031809,-37.323395,-60.763123,663.291687
277,0,-0.010153,-0.001832,-0.031838,-37.493046,-60.876846,663.279541
278,0,-0.010312,-0.002139,-0.032018,-37.649151,-60.976952,663.274719
279,0,-0.010569,-0.002119,-0.032042,-37.794998,-61.051968,663.251099
280,0,-0.010838,-0.002098,-0.032040,-37.929371,-61.108269,663.229370
281,0,-0.011135,-0.002047,-0.031979,-38.037666,-61.151920,663.212036
282,0,-0.011445,-0.001993,-0.031835,-38.140099,-61.191647,663.202637
283,0,-0.011786,-0.002128,-0.031826,-38.216957,-61.219677,663.200073
284,0,-0.011899,-0.002512,-0.031680,-38.275696,-61.239666,663.210083
285,0,-0.012189,-0.003049,-0.031684,-38.312355,-61.233490,663.239441
286,0,-0.012454,-0.003461,-0.031457,-38.325897,-61.189465,663.266052
287,0,-0.012544,-0.003594,-0.031442,-38.313412,-61.140713,663.312439
288,0,-0.012858,-0.003725,-0.031472,-38.270786,-61.079803,663.369934
289,0,-0.013049,-0.003656,-0.031343,-38.204723,-61.000050,663.424805
290,0,-0.012980,-0.003825,-0.031247,-38.126255,-60.903557,663.480042
291,0,-0.012618,-0.004027,-0.031444,-38.033516,-60.796707,663.557068
292,0,-0.012186,-0.004193,-0.031336,-37.923275,-60.650776,663.662415
293,0,-0.011821,-0.004464,-0.031195,-37.806412,-60.501293,663.802246
294,0,-0.011471,-0.004901,-0.031024,-37.679817,-60.356464,663.960693
295,0,-0.013208,-0.005551,-0.026871,-37.534477,-59.835968,664.041321
296,0,-0.012867,-0.005714,-0.026346,-37.403210,-59.669876,664.222900
297,0,-0.012167,-0.005873,-0.025667,-37.259121,-59.515583,664.412048
298,0,-0.011471,-0.006184,-0.025051,-37.104279,-59.375450,664.596252
299,0,-0.010722,-0.006784,-0.024588,-36.942814,-59.234985,664.786987
300,0,-0.010292,-0.007426,-0.024222,-36.771591,-59.092281,664.979004
301,0,-0.009736,-0.007564,-0.023863,-36.583027,-58.933407,665.184143
302,0,-0.009486,-0.007808,-0.023562,-36.380302,-58.775120,665.384033
303,0,-0.008877,-0.008125,-0.023070,-36.170403,-58.633427,665.573853
304,0,-0.007520,-0.008662,-0.030169,-35.972813,-58.039478,665.640320
305,0,-0.007099,-0.008912,-0.030117,-35.752670,-57.899929,665.816650
306,0,-0.006094,-0.009124,-0.030412,-35.536030,-57.770512,666.009155
307,0,-0.006029,-0.010132,-0.030570,-35.339085,-57.625607,666.187256
308,0,-0.005739,-0.010927,-0.030752,-35.140224,-57.496498,666.347961
309,0,-0.005799,-0.011503,-0.030736,-34.946911,-57.370525,666.510559
310,0,-0.005812,-0.012096,-0.030579,-34.754261,-57.249626,666.665527
311,0,-0.005751,-0.012552,-0.030260,-34.577312,-57.139114,666.835205
312,0,-0.005401,-0.012869,-0.030236,-34.401272,-57.036541,667.003052
313,0,-0.005045,-0.013176,-0.030154,-34.244564,-56.945225,667.166809
314,0,-0.004547,-0.013053,-0.029817,-34.085091,-56.839981,667.337280
315,0,-0.004399,-0.013407,-0.029625,-33.941006,-56.731304,667.511536
316,0,-0.004162,-0.013688,-0.029345,-33.814468,-56.617939,667.678833
317,0,-0.004178,-0.014218,-0.029054,-33.707935,-56.519291,667.847656
318,0,-0.004226,-0.014672,-0.028568,-33.598503,-56.431564,667.990234
319,0,-0.004088,-0.014925,-0.027925,-33.487938,-56.360043,668.133240
320,0,-0.003841,-0.015229,-0.027416,-33.390877,-56.274879,668.275269
321,0,-0.003417,-0.015285,-0.026965,-33.302372,-56.206440,668.410645
322,0,-0.003051,-0.015563,-0.026632,-33.212383,-56.163033,668.531738
323,0,-0.002676,-0.015633,-0.026270,-33.131672,-56.125278,668.624207
324,0,-0.002540,-0.015946,-0.025966,-33.043522,-56.109848,668.706604
325,0,-0.002383,-0.016433,-0.025858,-32.947731,-56.114178,668.770325
326,0,-0.002517,-0.016477,-0.025608,-32.847221,-56.154041,668.843384
327,0,-0.002389,-0.016633,-0.025809,-32.738766,-56.190441,668.902527
328,0,-0.002348,-0.016378,-0.025922,-32.632355,-56.232868,668.952820
329,0,-0.002068,-0.016241,-0.026144,-32.527138,-56.272141,668.992554
330,0,-0.001985,-0.016039,-0.026370,-32.425438,-56.317673,668.997742
331,0,-0.002241,-0.016004,-0.026724,-32.334953,-56.378658,669.000183
332,0,-0.002486,-0.016199,-0.026977,-32.261963,-56.426884,669.001709
333,0,-0.002702,-0.016271,-0.027153,-32.202282,-56.480522,669.018250
334,0,-0.003002,-0.016418,-0.027276,-32.153599,-56.503860,669.028137
335,0,-0.003309,-0.016564,-0.027320,-32.119511,-56.523640,669.045410
336,0,-0.003323,-0.016969,-0.027453,-32.095074,-56.529060,669.078064
337,0,-0.003463,-0.017166,-0.027461,-32.081547,-56.550407,669.132019
338,0,-0.003625,-0.017557,-0.027393,-32.083324,-56.577065,669.169189
339,0,-0.003920,-0.017992,-0.027448,-32.084202,-56.589947,669.192383
340,0,-0.003915,-0.018168,-0.027560,-32.086109,-56.591789,669.227173
341,0,-0.003963,-0.018177,-0.027516,-32.092659,-56.595619,669.278809
342,0,-0.003957,-0.018542,-0.027784,-32.109589,-56.573925,669.333374
343,0,-0.003802,-0.018484,-0.027582,-32.134941,-56.595402,669.410339
344,0,-0.003989,-0.018996,-0.027720,-32.160236,-56.584084,669.465210
345,0,-0.003884,-0.019156,-0.027610,-32.195156,-56.576832,669.512817
346,0,-0.004043,-0.019491,-0.027563,-32.229145,-56.564606,669.538452
347,0,-0.004047,-0.019571,-0.027490,-32.271233,-56.569641,669.579529
348,0,-0.004013,-0.019740,-0.027432,-32.316143,-56.558331,669.618103
349,0,-0.003753,-0.019669,-0.027308,-32.367008,-56.547142,669.663208
350,0,-0.003740,-0.019804,-0.027339,-32.421509,-56.530758,669.706482
351,0,-0.003586,-0.019822,-0.027103,-32.469913,-56.534340,669.742310
352,0,-0.003585,-0.019896,-0.026879,-32.528980,-56.518021,669.749084
353,0,-0.004007,-0.019836,-0.026505,-32.592197,-56.501968,669.757813
