Objects
100
,,Global Angle (Quaternion) Nico_1:Nico_1,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm
234,0,0.011332,0.009286,-0.000912,0.999892,-7.591940,-57.237362,220.068268
235,0,0.011096,0.009624,-0.000564,0.999892,-7.189545,-56.888641,219.984131
236,0,0.010908,0.010039,-0.000117,0.999890,-6.800153,-56.525177,219.848633
237,0,0.010489,0.010465,0.000396,0.999890,-6.430805,-56.170670,219.703461
238,0,0.010158,0.010766,0.001106,0.999890,-6.085642,-55.813480,219.582794
239,0,0.009725,0.010738,0.001723,0.999894,-5.772238,-55.465481,219.462952
240,0,0.009191,0.010674,0.002365,0.999898,-5.489484,-55.129288,219.352005
241,0,0.008754,0.010693,0.003074,0.999900,-5.198626,-54.783424,219.251312
242,0,0.008332,0.010751,0.003830,0.999900,-4.926302,-54.463680,219.163345
243,0,0.007752,0.010663,0.004541,0.999903,-4.675996,-54.148087,219.108353
244,0,0.007196,0.010533,0.005203,0.999905,-4.451595,-53.810505,219.065033
245,0,0.006648,0.010159,0.005916,0.999909,-4.245067,-53.487995,219.058548
246,0,0.006114,0.009557,0.006413,0.999915,-4.060494,-53.174225,219.102936
247,0,0.005641,0.008909,0.006861,0.999921,-3.884045,-52.898495,219.205612
248,0,0.005348,0.008274,0.007068,0.999927,-3.708846,-52.662426,219.352493
249,0,0.005160,0.007700,0.007051,0.999932,-3.548008,-52.443855,219.522293
250,0,0.005241,0.007369,0.006947,0.999935,-3.385332,-52.258591,219.712982
251,0,0.005330,0.007030,0.006666,0.999939,-3.207602,-52.082558,219.937866
252,0,0.005334,0.006808,0.006200,0.999943,-3.024913,-51.912704,220.168976
253,0,0.005425,0.006842,0.005700,0.999946,-2.851838,-51.730713,220.425644
254,0,0.005690,0.007011,0.005158,0.999946,-2.698568,-51.550518,220.730927
255,0,0.005824,0.006889,0.004482,0.999949,-2.569037,-51.392689,221.084961
256,0,0.006177,0.006876,0.003924,0.999950,-2.466866,-51.262005,221.526718
257,0,0.006275,0.006825,0.003501,0.999951,-2.392316,-51.134975,222.009308
258,0,0.006353,0.006466,0.002971,0.999955,-2.356364,-51.031097,222.563065
259,0,0.006900,0.006055,0.002695,0.999954,-2.352989,-50.936604,223.201157
260,0,0.007128,0.005483,0.002380,0.999957,-2.381478,-50.855316,223.904419
261,0,0.007697,0.005064,0.002101,0.999955,-2.432123,-50.779041,224.637573
262,0,0.008121,0.004319,0.001954,0.999956,-2.483189,-50.716827,225.403168
263,0,0.008720,0.004018,0.001860,0.999952,-2.518826,-50.706379,226.167999
264,0,0.009282,0.003652,0.001691,0.999949,-2.543566,-50.688179,226.940094
265,0,0.009630,0.003430,0.001425,0.999947,-2.553218,-50.674614,227.677948
266,0,0.010085,0.003292,0.000951,0.999943,-2.564759,-50.680195,228.434418
267,0,0.010457,0.003147,0.000515,0.999940,-2.590425,-50.694714,229.227814
268,0,0.010488,0.002934,-0.000074,0.999941,-2.612115,-50.692451,229.985428
269,0,0.010714,0.003002,-0.000354,0.999938,-2.660323,-50.695007,230.763885
270,0,0.010829,0.002793,-0.000573,0.999937,-2.726085,-50.734951,231.548355
271,0,0.010833,0.002294,-0.000857,0.999938,-2.824700,-50.810200,232.335037
272,0,0.010731,0.001620,-0.000954,0.999941,-2.931102,-50.904118,233.138855
273,0,0.010924,0.000905,-0.000981,0.999939,-3.058624,-50.981827,233.919678
274,0,0.010950,0.000233,-0.001101,0.999939,-3.176730,-51.086517,234.707230
275,0,0.010882,-0.000509,-0.001269,0.999940,-3.291717,-51.210800,235.481232
276,0,0.010784,-0.001063,-0.001519,0.999940,-3.397733,-51.330490,236.234482
277,0,0.010925,-0.001488,-0.001868,0.999937,-3.502352,-51.439377,236.956100
278,0,0.010704,-0.002066,-0.002216,0.999938,-3.598318,-51.554527,237.634689
279,0,0.010665,-0.002598,-0.002697,0.999936,-3.690049,-51.675339,238.283508
280,0,0.010680,-0.003057,-0.003193,0.999933,-3.781870,-51.815567,238.915268
281,0,0.010864,-0.003346,-0.003721,0.999928,-3.866438,-51.943867,239.518372
282,0,0.011084,-0.003540,-0.004263,0.999923,-3.952863,-52.097183,240.085251
283,0,0.011046,-0.003819,-0.004699,0.999921,-4.036379,-52.284035,240.635437
284,0,0.011146,-0.004125,-0.005207,0.999916,-4.133051,-52.474808,241.150620
285,0,0.011041,-0.004420,-0.005531,0.999914,-4.229737,-52.674480,241.662964
286,0,0.011143,-0.004964,-0.005987,0.999908,-4.329334,-52.887764,242.150742
287,0,0.011193,-0.005423,-0.006378,0.999902,-4.438691,-53.097229,242.592697
288,0,0.011087,-0.005850,-0.006894,0.999898,-4.539740,-53.292671,242.985199
